"Nombre","UrlOriginal","PaginaEncontrada","Extension","TamanoBytes","TamanoKB","Resolucion","RutaLocal","FechaDescarga"
"tour1.jpg","https://www.galeriadeviajes.com/files/2/Image/tour1.jpg","https://www.galeriadeviajes.com/es/pages/servicios",".jpg","51313","50.11","745 x 300","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\tour1.jpg","7/27/2026 10:12:22 AM"
"traveltourdesign.png","https://www.galeriadeviajes.com/files/2/Image/traveltourdesign.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","11772","11.5","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\traveltourdesign.png","7/27/2026 10:12:23 AM"
"traveltour.png","https://www.galeriadeviajes.com/files/2/Image/traveltour.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","27874","27.22","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\traveltour.png","7/27/2026 10:12:23 AM"
"transfer.png","https://www.galeriadeviajes.com/files/2/Image/transfer.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","9483","9.26","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\transfer.png","7/27/2026 10:12:24 AM"
"hotel.png","https://www.galeriadeviajes.com/files/2/Image/hotel.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","9736","9.51","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\hotel.png","7/27/2026 10:12:24 AM"
"group.png","https://www.galeriadeviajes.com/files/2/Image/group.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","20706","20.22","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\group.png","7/27/2026 10:12:24 AM"
"cruise.png","https://www.galeriadeviajes.com/files/2/Image/cruise.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","12730","12.43","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\cruise.png","7/27/2026 10:12:25 AM"
"ship.png","https://www.galeriadeviajes.com/files/2/Image/ship.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","11300","11.04","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\ship.png","7/27/2026 10:12:25 AM"
"packagetourist.png","https://www.galeriadeviajes.com/files/2/Image/packagetourist.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","13609","13.29","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\packagetourist.png","7/27/2026 10:12:26 AM"
"calendaricon.png","https://www.galeriadeviajes.com/files/2/Image/calendaricon.png","https://www.galeriadeviajes.com/es/pages/servicios",".png","11207","10.94","512 x 512","C:\Proyectos\galeria-viajes-demo\assets\images\sitio-actual\calendaricon.png","7/27/2026 10:12:26 AM"
